State,District,year,murder,attempt to murder,culpable homicide not amounting or murder,rape,custodial rape,other rape,kidnapping & abduction,kidnapping and abduction of women and girls,kidnapping and abduction of others,dacoity,preparation and assembly for dacoity,robbery,burglary,theft,auto theft,other theft,riots,criminal breach of trust,cheating,counterfieting,arson,hurt/grevious hurt,dowry deaths,assault on women with intent to outrage her modesty,insult to modesty of women,cruelty by husband or his relatives,importation of girls from foreign countries,causing death by negligence,other ipc crimes,total ipc crimes,TOTAL_CRIME,LATITUDE,LONGITUDE,Cluster
ARUNACHAL PRADESH,CHANGLANG,2001,11,2,0,1,0,1,3,2,1,3,2,4,18,24,0,24,0,4,3,0,1,30,0,3,0,0,0,0,54,163,163,12.924830290805511,77.49413807152168,2
ARUNACHAL PRADESH,DIBANG VALLEY,2001,3,5,0,2,0,2,4,4,0,2,0,5,18,19,1,18,0,3,0,0,0,27,0,4,0,2,0,0,45,139,139,12.860829061459986,77.63832759422931,2
ARUNACHAL PRADESH,KAMENG EAST,2001,3,1,0,2,0,2,7,5,2,1,0,6,8,26,0,26,0,1,1,0,1,36,0,5,0,0,0,0,28,126,126,12.836910554683463,77.49092986909011,0
ARUNACHAL PRADESH,KAMENG WEST,2001,4,2,0,0,0,0,2,2,0,1,0,0,6,26,0,26,0,1,4,0,0,27,0,0,0,0,0,0,30,103,103,12.95668259417495,77.59228014218215,0
ARUNACHAL PRADESH,LOHIT,2001,16,6,1,2,0,2,6,6,0,2,0,8,20,31,0,31,3,5,2,0,2,40,0,8,0,0,0,0,38,190,190,13.133918017496638,77.68339393197273,2
ARUNACHAL PRADESH,SIANG EAST,2001,7,0,0,5,0,5,11,7,4,4,0,8,25,52,4,48,1,4,4,0,1,58,0,7,0,2,0,0,54,243,243,12.810967471965881,77.75804715596752,2
ARUNACHAL PRADESH,SIANG UPPER,2001,1,1,0,2,0,2,5,5,0,0,0,0,5,9,0,9,1,1,0,0,2,15,0,3,0,0,0,0,11,56,56,13.1236287974885,77.58634819623894,0
ARUNACHAL PRADESH,SIANG WEST,2001,5,14,0,4,0,4,17,10,7,1,0,10,34,72,1,71,2,5,5,0,3,71,0,25,2,2,0,0,89,361,361,12.924994553072223,77.49614072266714,1
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,8,10,1,2,0,2,6,5,1,1,0,7,17,25,0,25,5,3,2,0,2,11,0,4,0,0,0,0,44,148,148,12.870587534697245,77.42593304478052,2
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,4,0,0,2,0,2,1,1,0,3,0,5,17,20,0,20,2,2,0,0,0,34,0,8,0,2,0,0,40,140,140,13.017884958112974,77.71459922849648,2
ARUNACHAL PRADESH,TAWANG,2001,2,0,0,1,0,1,0,0,0,0,0,0,3,13,1,12,0,0,1,0,0,3,0,5,1,0,0,0,19,48,48,13.152095703126118,77.64717056683266,0
ARUNACHAL PRADESH,TIRAP,2001,8,4,1,1,0,1,6,3,3,0,0,2,18,17,0,17,1,0,0,2,0,30,0,0,0,0,0,0,37,127,127,12.99895374090896,77.74796322656714,2
ASSAM,C.I.D.,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,2,8,8,12.898112404239626,77.43020270018229,0
ASSAM,G.R.P.,2001,13,1,0,1,0,1,3,0,3,8,0,16,11,135,0,135,9,1,0,0,0,35,0,0,0,0,0,0,110,343,343,12.818117638343852,77.64008310356941,1
ASSAM,N.C.HILLS,2001,17,8,1,2,0,2,8,4,4,4,0,5,17,30,3,27,4,8,3,0,3,22,0,2,0,7,0,16,30,187,187,13.15538918831583,77.56756213997991,2
ASSAM,R.P.O.,2001,11,0,0,3,0,3,2,0,2,13,0,2,1,29,0,29,13,0,1,0,0,0,0,0,0,0,0,0,26,101,101,12.991570234655443,77.55132379107124,0
BIHAR,JAMALPUR RLY.,2001,7,0,0,1,0,1,4,0,4,9,2,13,1,117,4,113,0,0,3,0,0,0,0,1,0,1,0,4,62,225,225,12.883094385035227,77.72246622838895,2
CHHATTISGARH,BIZAPUR,2001,9,13,0,4,0,4,0,0,0,2,0,6,9,3,3,0,1,0,0,0,6,11,0,1,0,0,0,2,19,86,86,12.962936913074499,77.49208307404601,0
CHHATTISGARH,GRP RAIPUR,2001,2,1,0,0,0,0,0,0,0,2,0,9,8,197,5,192,4,0,2,0,0,8,0,4,0,1,0,0,77,315,315,13.040916845589493,77.42465591020724,1
GUJARAT,AHWA-DANG,2001,6,0,0,1,0,1,2,1,1,0,0,1,6,8,1,7,10,3,4,0,2,32,0,2,0,2,0,14,54,147,147,13.013876683178836,77.71636015703888,2
HIMACHAL PRADESH,G.R.P.,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,4,12.98552187731311,77.45628562917751,0
HIMACHAL PRADESH,LAHAUL-SPITI,2001,1,0,0,2,0,2,1,1,0,0,0,1,5,1,0,1,2,0,1,0,1,1,0,0,0,1,0,9,24,50,50,13.122505823992272,77.61485015183695,0
JAMMU & KASHMIR,CRIME JAMMU,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,27,27,13.061578616732518,77.49656717499882,0
JAMMU & KASHMIR,KARGIL,2001,0,0,0,0,0,0,2,1,1,0,0,0,2,6,3,3,5,0,0,0,3,1,0,1,0,0,0,0,62,82,82,13.16238449868673,77.61421292103681,0
JAMMU & KASHMIR,LEH,2001,3,1,0,0,0,0,1,1,0,0,0,0,7,6,0,6,5,3,3,0,0,0,0,1,0,0,0,0,107,137,137,13.05039247179179,77.60287596746251,2
JAMMU & KASHMIR,RAILWAYS,2001,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,17,17,12.934597657182314,77.5382638420887,0
JHARKHAND,DHANBAD RLY.,2001,11,0,0,2,0,2,4,0,4,12,0,13,9,209,2,207,4,0,8,0,0,0,0,0,0,0,0,0,88,360,360,12.932047799643772,77.58472447948266,1
JHARKHAND,JAMSHEDPUR RLY.,2001,4,0,0,1,0,1,0,0,0,6,0,4,3,65,1,64,2,0,3,0,0,0,0,1,0,0,0,0,59,148,148,12.94486733814822,77.71920061551732,2
JHARKHAND,LOHARDAGGA,2001,33,4,0,12,0,12,14,8,6,8,0,11,14,28,16,12,29,4,5,0,3,11,0,4,0,10,0,0,121,311,311,12.990665989476884,77.53374531876317,1
KERALA,RAILWAYS,2001,0,0,0,1,0,1,0,0,0,0,0,2,1,197,2,195,39,0,1,0,0,9,0,0,0,0,0,0,39,289,289,12.95002882117605,77.7565024215058,1
MADHYA PRADESH,INDORE RLY.,2001,6,4,2,2,0,2,0,0,0,0,1,7,3,193,3,190,2,0,5,0,0,14,0,5,1,0,0,0,108,353,353,12.809187721104136,77.43736025246395,1
MADHYA PRADESH,JABALPUR RLY.,2001,3,0,0,0,0,0,0,0,0,0,1,15,0,221,6,215,1,2,2,0,0,14,1,4,0,0,0,0,95,359,359,12.991300933400199,77.74325718970827,1
MANIPUR,BISHNUPUR,2001,29,25,1,1,0,1,3,3,0,3,0,2,6,11,1,10,11,3,3,1,7,21,0,0,0,1,0,0,98,226,226,12.965953081930838,77.43987165071118,2
MANIPUR,SENAPATI,2001,27,10,0,0,0,0,6,0,6,0,0,1,2,9,0,9,2,3,1,1,2,1,0,0,0,0,0,0,111,176,176,12.979578538558433,77.64310643720754,2
MANIPUR,TAMENGLONG,2001,2,1,0,0,0,0,0,0,0,0,0,0,1,4,0,4,0,0,0,0,3,2,0,0,0,0,0,1,0,14,14,13.06482252564325,77.63593881538935,0
MANIPUR,UKHRUL,2001,4,1,0,0,0,0,1,1,0,0,0,3,2,11,0,11,0,0,0,0,0,4,0,1,0,0,0,0,16,43,43,12.9206482955927,77.48814923352197,0
MEGHALAYA,GARO HILLS EAST,2001,16,9,0,2,0,2,5,0,5,7,0,14,7,16,0,16,1,2,1,0,1,12,0,2,0,0,0,0,39,134,134,12.883331083829505,77.70322170133021,2
MEGHALAYA,GARO HILLS SOUTH,2001,6,3,0,1,0,1,2,0,2,3,0,4,2,8,0,8,1,0,0,0,0,2,0,0,0,1,0,0,16,49,49,13.122451020562291,77.7792914483166,0
MEGHALAYA,GARO HILLS WEST,2001,19,3,0,5,0,5,14,0,14,9,0,4,34,30,3,27,3,0,4,1,3,24,0,8,0,0,0,0,74,235,235,13.151030993345241,77.62030823836928,2
